"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
ABBV,NYSE,03.01.2020,12:40:00,89.270,89.330,89.255,89.330,3753
ABBV,NYSE,03.01.2020,12:41:00,89.330,89.330,89.310,89.330,4156
ABBV,NYSE,03.01.2020,12:42:00,89.330,89.330,89.250,89.276,3227
ABBV,NYSE,03.01.2020,12:43:00,89.285,89.290,89.260,89.260,3317
ABBV,NYSE,03.01.2020,12:44:00,89.250,89.265,89.230,89.239,8194
ABBV,NYSE,03.01.2020,12:45:00,89.250,89.250,89.205,89.210,9442
ABBV,NYSE,03.01.2020,12:46:00,89.200,89.210,89.180,89.200,3824
ABBV,NYSE,03.01.2020,12:47:00,89.205,89.210,89.185,89.210,3200
ABBV,NYSE,03.01.2020,12:48:00,89.200,89.225,89.195,89.220,3800
ABBV,NYSE,03.01.2020,12:49:00,89.200,89.220,89.190,89.190,3458
ABBV,NYSE,03.01.2020,12:50:00,89.200,89.226,89.180,89.226,12080
ABBV,NYSE,03.01.2020,12:51:00,89.220,89.240,89.210,89.240,12065
ABBV,NYSE,03.01.2020,12:52:00,89.240,89.266,89.200,89.205,5870
ABBV,NYSE,03.01.2020,12:53:00,89.205,89.220,89.180,89.180,7890
ABBV,NYSE,03.01.2020,12:54:00,89.170,89.180,89.160,89.175,1191
ABBV,NYSE,03.01.2020,12:55:00,89.170,89.170,89.140,89.165,4926
ABBV,NYSE,03.01.2020,12:56:00,89.170,89.170,89.130,89.140,1800
ABBV,NYSE,03.01.2020,12:57:00,89.110,89.150,89.110,89.140,1935
ABBV,NYSE,03.01.2020,12:58:00,89.140,89.140,89.120,89.140,9511
ABBV,NYSE,03.01.2020,12:59:00,89.140,89.140,89.112,89.140,4101
ABBV,NYSE,03.01.2020,13:00:00,89.150,89.190,89.145,89.190,3638
ABBV,NYSE,03.01.2020,13:01:00,89.195,89.200,89.170,89.170,3838
ABBV,NYSE,03.01.2020,13:02:00,89.160,89.160,89.120,89.127,2795
ABBV,NYSE,03.01.2020,13:03:00,89.120,89.135,89.120,89.130,7148
ABBV,NYSE,03.01.2020,13:04:00,89.140,89.150,89.120,89.120,4124
ABBV,NYSE,03.01.2020,13:05:00,89.125,89.125,89.100,89.100,2070
ABBV,NYSE,03.01.2020,13:06:00,89.095,89.107,89.095,89.095,4973
ABBV,NYSE,03.01.2020,13:07:00,89.095,89.100,89.080,89.085,4902
ABBV,NYSE,03.01.2020,13:08:00,89.070,89.074,89.060,89.070,9035
ABBV,NYSE,03.01.2020,13:09:00,89.080,89.110,89.060,89.060,9921
ABBV,NYSE,03.01.2020,13:10:00,89.040,89.060,89.020,89.030,17977
ABBV,NYSE,03.01.2020,13:11:00,89.030,89.050,89.025,89.050,6521
ABBV,NYSE,03.01.2020,13:12:00,89.050,89.060,89.050,89.055,2623
ABBV,NYSE,03.01.2020,13:13:00,89.055,89.060,89.020,89.030,15583
ABBV,NYSE,03.01.2020,13:14:00,89.030,89.040,89.000,89.000,15672
ABBV,NYSE,03.01.2020,13:15:00,88.994,89.020,88.994,89.020,4191
ABBV,NYSE,03.01.2020,13:16:00,89.010,89.030,89.000,89.000,4154
ABBV,NYSE,03.01.2020,13:17:00,88.990,88.990,88.970,88.990,3525
ABBV,NYSE,03.01.2020,13:18:00,88.990,89.010,88.969,88.969,5696
ABBV,NYSE,03.01.2020,13:19:00,88.968,88.968,88.940,88.956,4806
